place_id	name	latitude	longitude
183	Galten	56.3497	10.0471
184	Gammel Vrå	57.1957	9.92684
185	Gammelhøj	55.1413	10.5411
186	Gandrup	56.7414	9.82243
187	Gildebjærg	55.8565	12.4795
188	Ginderup	56.3784	10.1044
189	Gjedsted	56.6974	9.34014
190	Gjedved	55.946	9.8582
191	Gjellerup	56.144	9.04955
192	Gjern	56.2309	9.74116
193	Gjødvad	56.1872	9.60449
194	Gjøl	57.0703	9.71529
195	Gjørringhøj	56.5124	9.5516
196	Glentholm	56.0934	9.75345
197	Godthaab	57.3531	10.2418
198	Gravballegård	56.2269	9.63321
199	Gravensten	57.4451	10.2107
200	Gravlev	56.8464	9.81335
201	Gravold	56.1308	9.90973
202	Grejs	55.7628	9.54602
203	Grenaa	56.4059	10.8912
204	Grindslev	56.6989	9.06921
205	Grindsted	57.1472	10.0459
206	Grindsted By	57.1732	9.99449
207	Grønbæk	56.2757	9.61968
208	Grønfeld	56.2539	10.5528
209	Grumstrup	55.9649	9.98462
210	Grundfør	56.2667	10.0993
211	Grurup	56.7877	8.41823
212	Gudhjem	55.2105	14.9717
213	Gudsø mose	56.784	9.77507
214	Gudum	56.5203	8.46656
215	Gullestrup	56.1685	8.97737
216	Gunderupgård	56.829	9.22762
217	Haarup	56.1519	9.64693
219	Hadbjærg	56.3345	10.106
220	Hadsten	56.3241	10.0541
221	Hadsten Station	56.3267	10.0495
222	Hadsund	56.7191	10.1163
224	Hæstrup mill	57.4221	9.9632
226	Hald	56.6018	9.19759
227	Halds bakke	56.8805	8.6557
228	Hallendrup	56.373	10.1097
230	Halling	56.3346	10.1887
231	Halling skov	56.3317	10.1753
232	Hallund	57.2423	10.102
233	Hallundbæk	56.2932	8.86929
234	Hals	56.9952	10.3066
235	Hammel	56.259	9.85691
236	Hammer	57.1521	10.0186
237	Hammer bakker	57.1334	10.023
238	Handest	56.5697	9.82184
239	Hårkaraklippen	55.2114	14.9712
240	Harre	56.7167	8.92403
241	Harridslev	56.5011	10.1304
242	Harte	55.5088	9.41754
243	Hårup	56.2828	10.2189
244	Hasle	56.1711	10.1625
245	Haslum	56.4208	10.0267
246	Hassing	56.8271	8.44792
247	Hatholt	57.3424	10.1778
248	Havbjærg	56.7073	9.11639
249	Haverslev	56.7846	9.67464
250	Havlund	55.8267	8.59157
251	Hede Mølle	55.9846	9.99664
252	Hellum	57.27	10.1649
253	Hemstok	56.0896	9.87427
254	Henningshøj	56.6203	10.029
255	Herning	56.1422	8.95267
256	Hesselballe	56.264	10.2674
257	Hesthave	57.5447	10.1284
258	Hesthøj	56.5064	9.91885
259	Himmerland	57.0477	9.90272
260	Hindsholm	55.5357	10.668
261	Hinge	56.3713	10.0567
262	Hinnerup	56.262	10.0673
263	Hjelmslev	56.0826	9.8773
264	Hjerk	56.6939	8.9485
265	Hjørre	56.261	10.3319
266	Hjørring	57.4591	9.99749
267	Hjortshøj	56.2595	10.2644
268	Hobro	56.6323	9.78429
269	Højbjærg	56.3397	9.54414
270	Høje	55.1408	10.5364
271	Højelse	55.4991	12.1248
272	Holmen	56.4844	10.2433
273	Holstebro	56.3628	8.61146
274	Homaa	56.363	10.8083
737	Abildgård, Navtrup	56.7444	8.90908
276	Hørby	57.3487	10.3535
277	Horndrup Skov	56.01	9.86716
278	Horne	57.5627	9.9747
279	Hornslet	56.3126	10.3167
280	Hornslet Mark	56.3159	10.304
281	Hornum	55.8827	9.63461
282	Hornum	56.9105	9.74191
283	Horsens	55.858	9.86198
284	Hortshøj	56.2614	10.2658
285	Hørup	56.7568	8.42803
286	Hov (Hou)	57.0561	10.3749
287	Hovgårds mølle	56.3898	10.5549
288	Hulbæk	56.4718	9.65666
289	Humlum	56.5393	8.55095
290	Hummelgård	55.7422	9.33834
291	Hundborg, Ty	56.9288	8.50629
292	Hundslev	55.4082	10.5869
293	Hurup	56.805	10.2725
294	Hvalløs	56.3812	10.1442
295	Hvalpsund	56.7001	9.20321
296	Hverringe	55.4818	10.7008
297	Hvidbjærg	56.651	8.5316
298	Hvidsminde	55.9215	9.70172
299	Hvidsted	57.3953	10.0653
300	Hvidstedgård	57.3974	10.073
301	Hvilsager	56.3687	10.351
302	Hvirring	55.8917	9.65499
303	Hvivelstov	56.7481	8.8736
304	Hvonbjærg	56.3038	10.3117
305	Idskov	57.259	10.351
306	Ilbjærge	57.4162	10.0744
307	Ilbjærge-bro	57.42	10.0529
309	Illerup	56.0623	9.87394
310	Jebjærg	56.6709	9.01475
311	Jebjærg hede	56.6687	9.0019
312	Jerlev	55.6728	9.43858
313	Jerslev	57.285	10.0923
314	Jerslev Bro	57.2135	10.0289
315	Jerup	57.5341	10.4169
316	Jetsmark	57.2099	9.67306
317	Jordrup	55.5578	9.30966
318	Kalundborg	55.6811	11.0889
319	Kalvehave	55.0019	12.1642
320	Kalvø	56.2764	10.4682
321	Karby	56.7532	8.56142
322	Karlby	56.3514	10.2867
323	Karlslunde	55.5714	12.2315
324	Katrup mark	55.9543	9.91849
325	Kirketerp	56.8914	9.66415
326	Kirkholm	55.757	10.0287
327	Kjærteminde	55.4525	10.6608
328	Kjølske	57.2515	10.1177
329	Klakring	55.71	9.9771
330	Klanhøje	56.1514	9.8215
331	Klarup	57.0084	10.0504
332	Klem	56.3061	8.3869
333	Kloonhøj	57.4718	9.98808
334	Kloster	56.5993	9.2188
335	Kloster skov	56.6006	9.2061
336	Knebel	56.2137	10.4859
337	Knudsholm	57.4511	10.1025
338	København	55.6796	12.6029
339	Kolby	55.799	10.5571
340	Koldbroen	57.3475	10.1877
341	Kolding	55.4919	9.49149
342	Koldinghus	55.4961	9.46845
343	Kolind	56.3573	10.5855
344	Kollemorten	55.8542	9.3654
345	Kolundsund	56.3907	10.7266
346	Kongeåen	55.4248	9.0064
347	Kongstedlund	56.8743	10.1494
348	Konradsminde	56.7881	9.75347
349	Kragelund	56.1964	9.41047
350	Krajbjærg mark	56.2971	10.2812
351	Krannestrup	56.3108	10.2328
352	Kras	56.7713	9.75753
353	Kratgården	57.4278	10.1629
354	Krejbjærg	56.6563	8.86731
355	Kristrup	56.4449	10.059
356	Kundby	55.7126	11.5243
357	Kværndrup	55.1806	10.526
358	Kvissel	57.4709	10.4078
359	Langesø	55.4389	10.1997
360	Langkjær	55.3497	9.37188
361	Langskov	56.336	10.1382
362	Legårdslyst	56.045	9.88197
363	Lejrskov	55.5118	9.3217
364	Lemvig	56.5586	8.30832
365	Lendum	57.4093	10.2966
366	Lerkenfelt	56.7365	9.38719
367	Lild	57.1078	9.00233
368	Lille Arden	56.7691	9.91128
369	Lille Taaning	56.0136	9.84015
370	Limfjord	57.0603	9.91198
371	Linaa Mark	56.2964	10.2473
372	Linderum	57.4293	10.1803
373	Linderumgård	57.4328	10.1763
374	Linderumgårds mark	57.4374	10.1654
375	Lindkjær	55.2594	10.5589
376	Lindum skov	56.5767	9.69053
377	Lisbjærg Terp	56.216	10.1905
378	Liver å	57.4694	9.9072
379	Løgstør	56.9673	9.26375
380	Løgten	56.2838	10.3829
381	Løgten Kro	56.27	10.31
382	Løkken	57.3693	9.71759
383	Løndum	55.9281	9.77312
384	Lørslev	57.4284	10.0853
385	Løsning Station	55.8027	9.69706
386	Løvenholms skov	56.4446	10.4979
387	Lovns	56.6965	9.2377
388	Lund	55.7493	12.9461
389	Lunde	55.1375	10.5274
390	Lunden	57.2356	10.1753
391	Lundø	56.6218	9.14028
392	Lyndelse Kro	55.2092	10.2981
393	Lyngbjærg	56.9643	9.81986
394	Lyngby	56.3665	10.7446
395	Lyngby Torp	57.4013	9.78314
396	Lystrup	56.2294	10.2374
397	Madum	56.2418	8.28632
398	Madum Sø	56.8064	9.93258
399	Malt	55.4727	9.06973
400	Månnes	56.0509	9.83219
401	Mari-Malene	56.3888	10.4798
402	Martofte	55.5474	10.6596
403	Mastrup	56.8786	9.82795
404	Medkjær	56.3454	10.4734
405	Mejlby	56.3007	10.2134
406	Mesing	56.0742	9.94138
407	Mjels	56.9295	9.90055
408	Møgelhøje	56.4034	10.2787
409	Mølgård	57.4322	10.0955
410	Mølholm	55.6851	9.54206
411	Mølholt	57.2449	10.4251
412	Mollerup	56.1561	9.72682
413	Mols	56.2334	10.524
414	Møltrup	56.7777	9.94735
415	Mørke	56.3363	10.378
416	Mors	56.812	8.73672
417	Mosbjærg	57.5022	10.2609
418	Mossø	56.0418	9.77737
419	Mylenberg	56.7833	9.83971
421	Mylund	57.3209	10.1663
422	Navtrup	56.7463	8.9104
423	Nedre Hornbæk	56.4675	9.97637
424	Nibe	56.9843	9.64058
425	Nielstrup	56.3664	10.1437
426	Nødager	56.3449	10.6368
427	Nörager	56.4792	10.5027
428	Nordskov	55.5985	10.6276
429	Nørlund	56.7833	9.71547
430	Nørlund skov	56.783	9.76852
431	Nørre Bjært	55.5126	9.52312
432	Nørre Fardrup	55.3638	8.73246
433	Nørre Kongerslev	56.9102	10.1215
434	Nørre Sundby	57.0594	9.92842
435	Nørre Tranders	57.0327	9.99886
436	Nørre Vissing	56.1249	9.84764
437	Nørre Vosborg	56.3303	8.33367
438	Nørre-Harridslev	57.4561	9.89261
439	Nørre-Lem	56.6023	8.77203
440	Nørre-Sundby	57.0658	9.92268
441	Nygård	55.9707	10.0607
442	Nyrup	56.7718	9.50233
443	Nysum	56.757	9.77694
444	Ødis	55.4099	9.38388
445	Ødsted	55.6576	9.40066
446	Ødum	56.3126	10.1345
447	Øksenvad	57.4129	10.0963
448	Ølgod	55.8078	8.61787
449	Ølst	56.3877	10.0861
450	Oplev	56.8359	9.79926
451	Ørre	56.2364	8.87417
452	Ørum	56.4841	9.62445
453	Østbjerg bakker	57.1311	10.0091
454	Øster Bording	56.1912	9.48546
455	Øster Brønderslev	57.2481	9.99782
456	Øster Gjesten	55.5282	9.21429
457	Øster Hassing	57.07	10.2025
458	Øster Hornum	56.94	9.7529
459	Østergård	56.0719	9.84456
460	Øster Løgum	55.1172	9.36115
461	Østrup	57.2605	9.68693
462	Over Feldborg	56.3446	8.95001
463	Pigshøj	55.2455	9.916
464	Pirrup Krat	57.1341	9.46386
465	Pittersø	56.1263	9.89665
466	Pølse høje	55.0065	12.1596
467	Raabjærg	57.6209	10.3112
468	Rærup	56.7709	9.31497
469	Rebild	56.8348	9.8502
470	Ramme	56.4906	8.21174
471	Randers	56.4605	10.0497
472	Randum	56.9034	9.23103
473	Rårup	55.5685	10.3153
474	Rask	55.8838	9.59861
475	Rask Mølle	55.871	9.61122
476	Ravheden	57.5297	10.2376
477	Ravnholt	55.2631	10.5841
478	Ravnkilde	56.7564	9.75634
479	Ravnsbakke	56.7013	9.07
480	Ravnsø	56.1072	9.84324
481	Regtrup	56.3679	10.2092
483	Rejstrup	56.5161	9.85065
484	Rendborg	57.4942	10.4255
486	Ringive	55.8001	9.17733
487	Risby	55.135	11.9295
488	Rødding	56.6494	8.81116
489	Røde mølle	56.8225	9.80133
490	Rodskov	56.3013	10.364
491	Rokkergyden	55.1963	10.535
492	Rold	56.777	9.81524
493	Rold skov	56.7958	9.8153
494	Rønde	56.2971	10.4813
495	Rønnebjærg	57.3603	10.0886
496	Rosenholm	55.6738	9.82616
497	Rosenholm	56.3339	10.3314
498	Rosenlund Bakker	56.3283	9.94639
500	Rostved	56.3088	10.5223
501	Røved	56.3144	10.171
502	Røverstuebakke	55.8882	9.33699
503	Rud	56.3634	10.1291
504	Ry	56.0916	9.76698
505	Ry skov	56.0985	9.64925
506	Rygs bakke	56.8682	8.65175
