story_id	publication_info
293	DS_II_E_213
294	DSnr_II_D_39
295	JAT_VI_1042
296	DSnr_I_240
297	MA_II_456
298	JAH_V_543a
299	MA_I_468
300	MA_I_465
301	MA_II_457
302	JAT_V_18
303	Unpub_KMP_301
304	Unpub_KMP_302
305	MA_II_6
306	DSk_I_248
307	JAT_VI_187
308	JAT_IV_68
309	JAT_IV_212
310	JAT_IV_189
311	JAT_IV_217
312	JAT_III_213
313	DSnr_III_477
314	Unpub_KMP_312
315	JAT_V_109
316	JAT_III_1737
317	JAT_VI_1042
318	Unpub_KMP_316
319	Unpub_KMP_317
320	DSk_I_14
321	DS_III_1793
322	DS_III_462
323	JAT_VI_865
324	JFm_XI_46
325	JFm_XI_22C
326	DS_I_685
327	DS_I_263
328	DS_I_1412
329	DS_IV_988
330	Æv_0_1459
331	Æv_0_1462
332	JAT_VI_1040
333	JFm_XI_129
334	Æv_0_1458
335	Æv_0_1460
336	DSk_I_13_(23)
337	Lege_0_1449
338	Unpub_AMJ_206
339	DS_VI_810
340	DS_IV_650
341	JAH_VI_753
342	Lege_0_313
343	MA_I_450
344	JAH_IV_218
345	Lege_0_1912
346	Lege_0_1949
347	DS_II_A_98
348	DS_II_B_147
349	DS_VI_1100
350	Unpub_AMJ_218
351	DS_II_H_34
352	DS_VI_1028
353	Lege_0_1945
404	DS_II_C_120
355	DS_V_51
356	DS_V_1232
357	DS_V_831
358	DSnr_II_B_130
359	DSnr_III_478
360	DS_III_2378
361	DSnr_III_564
362	DS_VII_505
363	DS_VI_1271
364	Unpub_AMJ_
365	DSnr_II_E_65
366	Unpub_AMJ_312
367	Æv_0_1667
368	Unpub_AMJ_401
369	JFm_XI_22C
370	Æv_0_1907
371	Unpub_AMJ_404
372	Æv_0_1963
373	DS_IV_1517
374	JFm_XII_64
375	DS_IV_720
376	DS_V_607
377	DS_I_959
378	DS_V_1163
379	DS_V_822
380	JAH_VI_639
381	DS_V_1153
382	DS_V_1370
383	DS_III_744
384	DS_III_2367
385	DS_I_767
386	MA_II_424
387	DS_V_872
388	DS_I_830
389	DS_II_E_20
390	DS_IV_121
391	DS_V_202
392	DS_IV_1689
393	JAH_I_263
394	JAH_V_579
395	JAH_VI_176
396	DS_I_1140
397	JAH_V_357
398	DS_III_870
399	JAH_V_212
400	JAH_III_456
401	JFm_XIII_36
402	FK_0_483
403	Unpub_PJ_229
405	JAH_I_62
406	DS_I_1036
407	DS_II_F_78
408	DS_VII_419
409	DS_III_515
410	DS_II_B_13
411	DS_VI_98
412	DS_VII_169
413	DS_IV_1075
414	DS_III_222
415	DS_III_340
416	DS_V_61
417	DS_III_528
418	DS_II_G356
419	DS_III_1779
420	DS_III_1851
