pers_id	pla_id	person_name	place	lat	lon	place_type	core_informant
347	555	N. P. Christensen	Smidstrup	55.7805	9.28303	residence	0
348	1	Nikolaj Christensen	Aaby	57.1652	9.74127	residence	0
349	818	P. Christensen	Kvols	56.5266	9.29151	residence	0
350	765	Niels Claussøn	Dalby-Stubdrup	56.3717	10.006	residence	0
351	877	Sidsel Andersdatter Dahl	Sønderkjær	56.2921	8.37482	residence	0
352	740	K. P. Dalin	Åle	55.8876	9.56112	residence	0
353	867	Else og Maren Dissing	Skallerup, Mors	56.8535	8.65881	residence	0
354	146	Tøger Dissing	Erslev	56.3638	10.0746	residence	0
355	291	Lars Dybdahl	Hundborg, Ty	56.9288	8.50629	residence	0
356	761	Martin Dyrholm	Brudager	55.116	10.6748	residence	0
357	753	Rasmus Dyrholm	Bode	56.478	10.3058	residence	0
358	32	Niels Ebbesen	Andrup	55.3582	9.3877	residence	0
359	338	Kr. Eriksen	København	55.6796	12.6029	residence	0
360	246	Lars Peter Eriksen	Hassing	56.8271	8.44792	residence	0
361	916	Hanne (Johanne Marie Christine) Fenger	Vosborg	56.0874	8.35511	residence	0
362	875	Hans Pedersen Fladbirk	Søheden	57.3001	10.1857	residence	0
363	700	Kristian Frederiksen	Vidstrup	57.4994	9.94496	residence	0
364	758	Lars Frederiksen	Bredballe	55.7155	9.60583	residence	0
366	310	Katrine Glud	Jebjærg	56.6709	9.01475	residence	0
367	830	C. F. Grove	Marielyst	55.6874	12.5674	residence	0
368	338	F. L. Grundtvig	København	55.6796	12.6029	residence	0
369	802	Andreas Thøgersen Grønborg	Hvilshøj	57.2266	10.03	residence	0
370	189	Inger Halkjær	Gjedsted	56.6974	9.34014	residence	0
371	806	Constantin Hansen	Jærnved	55.4207	8.79118	residence	0
372	795	H. Hansen	Hjallese	55.3596	10.3853	residence	0
373	841	Hans Hansen	Ørridslev	55.9393	9.93701	residence	0
374	788	Hans Peder Hansen	Halskov	54.8021	12.0779	residence	0
375	899	Jørgen Hansen	Værslev	55.6552	11.2133	residence	0
376	769	Lorens Hansen	Fælsted	54.9808	9.50396	residence	0
377	799	Louise Hansen	Hurup	56.7562	8.42042	residence	0
377	293	Louise Hansen	Hurup	56.805	10.2725	residence	0
378	799	Louise Hansen	Hurup	56.7562	8.42042	residence	0
379	772	Mads Hansen	Fårdrup	55.3208	11.343	residence	0
380	77	N. E. Hansen	Borre	54.9979	12.451	residence	0
381	804	Peder Hansen	Iowa, USA	41.5888	-93.6203	residence	0
382	824	Peder Hansen	Linå	56.1979	9.69543	residence	0
383	414	Søren Lavrsen Hansen	Møltrup	56.7777	9.94735	residence	0
384	884	Hans Peder Hansen-Nørremølle	Sundeved	54.9204	9.82811	residence	0
385	11	C. C. Haugård	Åbenrå	55.0505	9.41294	residence	0
386	868	U. N. Henneberg	Skals	56.5522	9.40683	residence	0
387	889	Jørgen Henriksen	Testrup	56.987	9.77588	residence	0
388	780	Georg Himmelstrup	Galtrup	56.8459	8.72426	residence	0
389	804	Margrethe Hoberg	Iowa, USA	41.5888	-93.6203	residence	0
390	847	Mads Holdt	Påbøl	55.8192	8.76849	residence	0
391	843	Ove Holm	Ørsted	56.5533	10.3623	residence	0
392	685	P. C. Holm	Vejen	55.4862	9.13998	residence	0
393	782	Peder Holskov	Gjesing	55.992	10.0247	residence	0
394	842	A. E. Jakobsen	Ørritslev	55.5004	10.2287	residence	0
395	405	J. Jakobsen	Mejlby	56.3007	10.2134	residence	0
396	797	Peder Lavrids Jakobsen	Hørret skov	56.0869	10.1985	residence	0
397	853	Jens Jensen	Refshalegård	56.19	9.38267	residence	0
398	412	Johan Jensen	Mollerup	56.1561	9.72682	residence	0
399	214	Karl Kristian Jensen	Gudum	56.5203	8.46656	residence	0
400	907	Kr. Jensen	Vester Vedsted	55.2919	8.68282	residence	0
401	786	Mikkel Jensen	Grynderup	56.7097	9.67191	residence	0
402	664	P. Jensen	Trunderup	55.1926	10.5438	residence	0
403	747	P. K. Jensen	Åsted	56.7718	8.9895	residence	0
404	897	Poul Jensen	Udbyovre	56.6501	10.2114	residence	0
405	670	Svend Peter Jensen	Tvilum	56.2516	9.68702	residence	0
406	914	Svend Peter Jensen	Vole	56.1938	9.69566	residence	0
407	878	J. Jeppesen	Staby	56.2645	8.24156	residence	0
